age,education,education_num,sex,capital_gain,capital_loss,hours_per_week,native_country,income,married,relationship_grp,occupation_grp,workclass_grp,race_grp
25,11th,7,Male,0,0,40,United-States,0,0,dependent,low,private,black
38,HS-grad,9,Male,0,0,50,United-States,0,1,spouse,low,private,white
28,Assoc-acdm,12,Male,0,0,40,United-States,1,1,spouse,high,government,white
44,Some-college,10,Male,7688,0,40,United-States,1,1,spouse,low,private,black
34,10th,6,Male,0,0,30,United-States,0,0,independent,low,private,white
63,Prof-school,15,Male,3103,0,32,United-States,1,1,spouse,high,self_employed,white
24,Some-college,10,Female,0,0,40,United-States,0,0,independent,low,private,white
55,7th-8th,4,Male,0,0,10,United-States,0,1,spouse,mid,private,white
65,HS-grad,9,Male,6418,0,40,United-States,1,1,spouse,low,private,white
36,Bachelors,13,Male,0,0,40,United-States,0,1,spouse,mid,government,white
26,HS-grad,9,Female,0,0,39,United-States,0,0,independent,mid,private,white
48,HS-grad,9,Male,3103,0,48,United-States,1,1,spouse,low,private,white
43,Masters,14,Male,0,0,50,United-States,1,1,spouse,high,private,white
20,Some-college,10,Male,0,0,25,United-States,0,0,dependent,low,government,white
43,HS-grad,9,Female,0,0,30,United-States,0,1,spouse,mid,private,white
37,HS-grad,9,Female,0,0,20,United-States,0,0,independent,low,private,white
34,Bachelors,13,Male,0,0,47,United-States,1,1,spouse,high,private,white
34,Some-college,10,Female,0,0,35,United-States,0,0,dependent,low,private,black
25,Bachelors,13,Male,0,0,43,Peru,0,0,independent,high,private,white
25,Bachelors,13,Male,0,0,40,United-States,0,1,spouse,high,private,white
45,HS-grad,9,Male,7298,0,90,United-States,1,1,spouse,mid,self_employed,white
22,HS-grad,9,Male,0,0,20,United-States,0,0,dependent,mid,private,white
23,HS-grad,9,Male,0,0,54,United-States,0,0,independent,low,private,black
54,HS-grad,9,Male,0,0,35,United-States,0,1,spouse,mid,private,white
32,Some-college,10,Male,0,0,60,United-States,0,0,independent,high,self_employed,white
46,Some-college,10,Male,7688,0,38,United-States,1,1,spouse,high,government,black
56,11th,7,Female,0,0,50,United-States,0,0,independent,low,self_employed,white
24,Bachelors,13,Male,0,0,50,United-States,0,0,independent,mid,self_employed,white
23,Some-college,10,Male,0,0,40,United-States,0,1,spouse,high,government,white
26,HS-grad,9,Female,0,0,40,United-States,0,0,independent,high,private,white
36,Bachelors,13,Male,0,0,40,United-States,1,1,spouse,high,government,white
22,5th-6th,3,Male,0,0,50,Guatemala,0,0,independent,low,private,white
17,10th,6,Male,0,0,40,United-States,0,0,independent,low,private,white
20,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,mid,private,white
65,Masters,14,Male,0,0,50,United-States,1,1,spouse,high,private,white
44,Assoc-voc,11,Male,0,0,45,United-States,1,1,spouse,mid,self_employed,white
36,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,low,private,white
29,11th,7,Male,0,0,40,United-States,0,1,spouse,low,private,white
20,Some-college,10,Male,0,0,32,United-States,0,0,dependent,low,government,white
28,Assoc-voc,11,Female,0,0,36,United-States,1,1,spouse,high,private,white
39,7th-8th,4,Male,0,0,40,Mexico,0,1,spouse,mid,private,white
54,Some-college,10,Male,3908,0,50,United-States,0,1,spouse,mid,private,white
52,11th,7,Female,0,0,18,United-States,0,0,independent,low,private,black
56,HS-grad,9,Female,0,0,50,United-States,0,0,independent,high,self_employed,white
18,Some-college,10,Male,0,0,20,United-States,0,0,dependent,low,private,white
39,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,low,private,black
21,Some-college,10,Female,0,1721,24,United-States,0,0,dependent,low,private,white
22,HS-grad,9,Male,14084,0,60,United-States,1,0,independent,low,private,white
38,9th,5,Male,0,0,54,Mexico,0,0,independent,high,private,white
21,Some-college,10,Female,0,0,40,United-States,0,0,dependent,mid,private,white
63,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
34,Bachelors,13,Male,3103,0,50,United-States,1,1,spouse,high,government,white
42,HS-grad,9,Male,5178,0,50,United-States,1,1,spouse,high,self_employed,white
33,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,low,private,white
30,Bachelors,13,Female,0,0,50,United-States,0,0,independent,high,private,white
39,Some-college,10,Male,0,0,40,United-States,0,0,independent,mid,private,white
26,Masters,14,Female,0,0,40,United-States,0,0,independent,high,private,white
33,HS-grad,9,Female,0,0,40,United-States,0,0,dependent,low,private,white
47,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,government,white
41,Assoc-acdm,12,Male,15024,0,60,United-States,1,1,spouse,mid,self_employed,white
19,Some-college,10,Male,0,0,20,United-States,0,0,dependent,low,private,white
46,HS-grad,9,Male,0,0,40,United-States,0,0,independent,mid,private,white
43,HS-grad,9,Male,0,0,48,United-States,0,1,spouse,mid,private,white
55,Some-college,10,Male,15024,0,45,United-States,1,1,spouse,high,private,white
46,Assoc-voc,11,Male,0,0,40,United-States,0,1,spouse,high,private,white
30,HS-grad,9,Male,0,0,40,Mexico,0,1,spouse,low,private,white
21,Some-college,10,Female,0,0,40,United-States,0,0,independent,low,private,white
46,Some-college,10,Male,0,0,40,Dominican-Republic,0,1,spouse,mid,private,other_race
41,HS-grad,9,Male,0,0,50,United-States,0,1,spouse,low,private,white
69,HS-grad,9,Male,0,0,30,United-States,0,1,spouse,mid,self_employed,white
50,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
20,Some-college,10,Female,0,0,40,United-States,0,0,independent,mid,private,white
45,Some-college,10,Male,0,0,50,United-States,0,1,spouse,low,self_employed,white
23,Bachelors,13,Male,0,0,40,United-States,0,0,independent,high,private,white
24,Some-college,10,Male,0,1876,40,United-States,0,0,independent,low,private,white
31,Some-college,10,Male,0,0,50,United-States,0,1,spouse,mid,self_employed,white
43,HS-grad,9,Female,0,0,44,United-States,0,0,independent,low,private,white
20,11th,7,Female,0,0,10,United-States,0,0,dependent,low,government,white
55,HS-grad,9,Male,0,0,56,United-States,1,1,spouse,mid,private,white
24,Some-college,10,Male,0,0,40,United-States,0,0,independent,low,government,white
59,Bachelors,13,Female,0,0,25,United-States,0,0,independent,high,private,white
49,7th-8th,4,Male,0,0,20,United-States,0,0,independent,low,government,black
33,Masters,14,Female,5178,0,10,United-States,1,1,spouse,high,private,white
59,Bachelors,13,Male,0,0,40,United-States,0,0,independent,mid,government,white
