,mean_income=0,mean_income=1,delta,delta_std
relationship_grp=spouse,0.3302757688010819,0.8496609564596717,0.5193851876585898,1.2434367583501702
married=0,0.6621685188451814,0.14668094218415417,-0.5154875766610272,1.234218924653686
married=1,0.3378314811548186,0.8533190578158458,0.5154875766610272,1.234218924653686
age > 27.5,0.6960957252895866,0.9685046395431834,0.2724089142535968,0.7830254279279355
age ≤ 27.5,0.30390427471041337,0.03149536045681656,-0.2724089142535968,0.7830254279279355
education_num > 12.5,0.17201740459810666,0.49625267665952894,0.3242352720614223,0.7319622696664856
education_num ≤ 12.5,0.8279825954018933,0.5037473233404711,-0.3242352720614222,0.7319622696664855
relationship_grp=independent,0.439818898100782,0.13650963597430407,-0.3033092621264779,0.7107036065033507
relationship_grp=dependent,0.22990533309813607,0.013829407566024268,-0.2160759255321118,0.6997670577378443
occupation_grp=high,0.2381078379490798,0.5611170592433976,0.3230092212943178,0.6984864804953188
capital_gain ≤ 7056,0.9992356088669372,0.827355460385439,-0.17188014848149824,0.6414175683629112
capital_gain > 7056,0.0007643911330628564,0.17264453961456103,0.17188014848149816,0.641417568362911
occupation_grp=low,0.3138413594402305,0.07806923625981442,-0.23577212318041607,0.6220357493972064
hours_per_week > 41.5,0.24007761509966485,0.4956281227694504,0.25555050766978554,0.5495716767514961
hours_per_week ≤ 41.5,0.7599223849003351,0.5043718772305497,-0.2555505076697855,0.549571676751496
sex=Female,0.3829599576644911,0.14891149179157745,-0.23404846587291364,0.549330284640975
sex=Male,0.6170400423355089,0.8510885082084225,0.2340484658729136,0.5493302846409749
capital_loss > 1820,0.01187746222143823,0.09029264810849394,0.0784151858870557,0.36192576522418696
capital_loss ≤ 1820,0.9881225377785617,0.9097073518915061,-0.07841518588705565,0.3619257652241867
workclass_grp=private,0.7665961074851532,0.6471270521056388,-0.11946905537951436,0.2647342548436634
race_grp=black,0.10860234021285353,0.04764453961456103,-0.060957800598292505,0.22861821105653019
workclass_grp=self_employed,0.10204621626389133,0.17585653104925053,0.0738103147853592,0.2146068452908579
race_grp=white,0.8436526136296819,0.9106887937187723,0.0670361800890904,0.2052962557863433
occupation_grp=mid,0.4480508026106897,0.360813704496788,-0.08723709811390168,0.1784522839195154
workclass_grp=government,0.13135767625095549,0.17701641684511063,0.045658740594155145,0.12668310148170994
native_us=0,0.09319691891574058,0.06780870806566738,-0.0253882108500732,0.09341414633122362
native_us=1,0.9068030810842594,0.9321912919343326,0.025388210850073145,0.09341414633122341
race_grp=other_race,0.047745046157464575,0.041666666666666664,-0.006078379490797911,0.029415182988335856
