dataset,model,acc,p,spearman,rbo,wtau,top1_hit,top3_hit,overlap3,perm_p
titanic,DT,0.799,7,0.8928571428571429,0.968653,0.893939393939394,1,1,1.0,0.029097090290970903
titanic,LR,0.802,7,0.5714285714285715,0.9135865000000001,0.6525864707682889,1,1,0.6666666666666666,0.37716228377162286
titanic,SHAP,0.806,7,0.9285714285714288,0.959878,0.8778696051423324,1,1,0.6666666666666666,0.36736326367363265
diabetes,DT,0.723,8,0.6190476190476191,0.8832559857142857,0.6886928227269882,1,1,1.0,0.017198280171982803
diabetes,LR,0.775,8,0.7380952380952381,0.9242194857142858,0.7575245604154933,1,1,0.6666666666666666,0.29127087291270876
diabetes,SHAP,0.771,8,0.9285714285714287,0.9770364999999999,0.9284149928039547,1,1,1.0,0.017198280171982803
adult,DT,0.846,12,0.5800910270496299,0.8148937744642857,0.5719291871275461,1,1,0.3333333333333333,0.6125387461253875
adult,LR,0.841,12,0.7762237762237763,0.7367921148600001,0.45747708540514953,0,0,0.3333333333333333,0.6091390860913909
adult,SHAP,0.842,12,0.7622377622377624,0.7403926458600001,0.5265521844031743,0,0,0.3333333333333333,0.629037096290371
compas,DT,0.681,6,0.2571428571428572,0.8966529999999999,0.4448979591836735,1,1,0.6666666666666666,0.49635036496350365
compas,LR,0.671,6,0.48571428571428577,0.8966529999999999,0.5537414965986395,1,1,0.6666666666666666,0.5062493750624938
compas,SHAP,0.673,6,0.4285714285714286,0.8966529999999999,0.526530612244898,1,1,0.6666666666666666,0.5012498750124987
breast_cancer,DT,0.889,30,0.31243768995423254,0.6013730739187486,0.4905681619515471,1,1,0.3333333333333333,0.28287171282871715
breast_cancer,LR,0.959,30,0.6066740823136819,0.5442590163961385,0.48154719660669,0,0,0.3333333333333333,0.2776722327767223
breast_cancer,SHAP,0.93,30,0.37779508521685395,0.4310268596847894,0.3501581537964776,0,0,0.3333333333333333,0.28017198280171984
german,DT,0.733,20,0.527005389012066,0.7564101667170368,0.6325854564712181,1,1,0.6666666666666666,0.04609539046095391
german,LR,0.76,20,0.6736842105263157,0.6729262877168055,0.5249414805764815,0,1,0.6666666666666666,0.047495250474952504
german,SHAP,0.753,20,0.4451127819548871,0.6300254413257022,0.46248747137443114,1,1,0.3333333333333333,0.40345965403459655
bank,DT,0.894,15,0.5637295497763137,0.7356457632004392,0.5833160577254797,1,1,0.3333333333333333,0.5138486151384861
bank,LR,0.899,15,0.4142857142857142,0.6439283902742813,0.3725300016164298,0,1,0.6666666666666666,0.08309169083091691
bank,SHAP,0.892,15,0.19999999999999998,0.7857880514370579,0.46248789917779515,1,1,0.6666666666666666,0.08409159084091591
asee,DT,0.958,9,0.728039845617479,0.9460322601785713,0.8077838417837498,1,1,1.0,0.012398760123987601
asee,LR,0.951,9,0.6666666666666667,0.9460322601785713,0.7364286716229486,1,1,1.0,0.012398760123987601
asee,SHAP,0.951,9,0.2833333333333333,0.8328437601785714,0.4220437649039136,1,1,0.6666666666666666,0.22607739226077392
student,DT,0.841,30,0.34731184128606857,0.6484210629161393,0.49558223976253635,1,1,0.6666666666666666,0.0202979702029797
student,LR,0.841,30,0.3477196885428253,0.5200815279019295,0.32905162415449085,0,1,0.6666666666666666,0.0184981501849815
student,SHAP,0.779,30,-0.22803114571746386,0.27503703704677585,-0.26061467741377775,0,0,0.0,1.0
taiwan,DT,0.815,23,0.6469918006097759,0.7857236265674824,0.6683842817817953,1,1,0.6666666666666666,0.036396360363963605
taiwan,LR,0.815,23,-0.18675889328063244,0.5093884643327893,0.0937095151864307,1,1,0.3333333333333333,0.35896410358964104
taiwan,SHAP,0.824,23,0.1007905138339921,0.5334396682275657,0.2406319706333085,1,1,0.3333333333333333,0.3621637836216378
