Gender,Early College HS?,HS Rank,GPA at Graduation,Credits Transferred,Cal 1 Final Grade (MATH 1411),Cal 2 Final Grade (MATH 1312),Statics Final Grade (MECH 1321),Chemistry Final Grade (CHEM 1305),degree_completion
1,1,34.0,3.51,69,3,4,4,3,1
1,0,9.0,3.68,0,4,4,4,3,1
1,0,201.0,0.0,0,4,0,0,-1,0
0,0,223.0,2.86,0,4,4,3,2,1
0,0,25.0,3.59,60,4,4,3,3,1
0,0,85.0,2.79,81,0,0,0,0,1
1,0,64.0,0.0,6,0,0,0,-1,0
1,0,123.0,0.0,0,4,0,0,0,0
1,0,85.0,3.16,6,4,4,3,3,1
1,0,267.0,0.0,23,0,0,0,-1,0
1,0,269.0,0.0,0,0,0,0,0,0
1,0,237.0,0.0,15,0,0,0,0,0
1,0,158.0,0.0,71,0,0,0,0,0
1,0,117.0,0.0,0,0,0,0,0,0
0,0,47.0,2.34,68,0,0,0,1,0
1,0,175.0,3.52,83,0,0,0,0,1
1,0,199.0,0.0,0,0,0,0,-1,0
1,0,85.0,0.0,0,0,0,0,0,0
1,0,141.0,0.0,0,3,0,0,4,0
1,0,141.0,0.0,0,0,0,0,0,0
1,1,63.0,0.0,63,0,0,0,0,0
1,0,167.0,0.0,0,0,0,0,0,0
1,0,194.0,0.0,0,4,0,0,0,0
1,0,182.0,3.39,0,2,0,0,3,0
1,0,63.0,0.0,61,0,0,-1,0,0
0,0,85.0,0.0,67,0,0,0,0,0
1,0,85.0,3.62,0,2,3,4,2,1
1,0,33.0,0.0,0,0,0,0,0,0
1,0,301.0,0.0,0,0,0,0,0,0
1,0,34.0,0.0,6,0,0,0,0,0
1,1,50.0,0.0,62,3,4,2,3,0
1,0,85.0,0.0,9,0,0,0,0,0
1,0,247.0,0.0,0,3,0,0,1,0
1,0,85.0,3.36,69,0,0,0,3,0
1,0,386.0,0.0,0,2,3,0,-1,0
1,0,455.0,0.0,51,0,0,2,0,0
1,0,35.0,0.0,85,0,0,4,0,0
1,0,192.0,2.48,0,3,2,3,2,1
1,0,36.0,0.0,57,0,0,0,0,0
1,0,151.0,3.25,62,0,0,0,0,1
1,0,231.0,0.0,0,0,4,0,0,0
1,0,267.0,0.0,0,3,4,0,0,0
1,0,85.0,0.0,0,3,3,-1,2,0
0,0,293.0,0.0,0,2,0,0,0,0
0,0,142.0,0.0,0,4,4,0,0,0
1,0,177.0,0.0,61,0,0,0,0,0
1,0,24.0,0.0,0,-1,0,0,-1,0
1,0,266.0,0.0,0,0,0,0,0,0
1,0,188.0,0.0,27,0,0,0,0,0
1,0,6.0,3.12,62,0,0,0,0,1
0,0,176.0,0.0,0,0,0,0,0,0
1,0,36.0,0.0,7,4,4,2,3,0
