,mean_degree_completion=0,mean_degree_completion=1,delta,delta_std
GPA at Graduation ≤ 1.055,0.9413131900058106,0.0,-0.9413131900058106,5.662205229029008
GPA at Graduation > 1.055,0.058686809994189425,1.0,0.9413131900058106,5.662205229029008
Statics Final Grade (MECH 1321) > 1.5,0.24288204532248692,0.5899864682002707,0.34710442287778376,0.7518901901427065
Statics Final Grade (MECH 1321) ≤ 1.5,0.7571179546775131,0.4100135317997294,-0.3471044228777837,0.7518901901427064
Credits Transferred > 16.5,0.42068564787914003,0.7361299052774019,0.3154442573982618,0.6737887450901453
Credits Transferred ≤ 16.5,0.5793143521208599,0.2638700947225981,-0.3154442573982618,0.6737887450901451
HS Rank > 135.5,0.3434049970947124,0.16102841677943167,-0.18237658031528073,0.429335092226754
HS Rank ≤ 135.5,0.6565950029052876,0.8389715832205683,0.1823765803152807,0.4293350922267539
Chemistry Final Grade (CHEM 1305) > -0.5,0.9279488669378269,0.9972936400541272,0.06934477311630038,0.3717234453298515
Chemistry Final Grade (CHEM 1305) ≤ -0.5,0.07205113306217316,0.0027063599458728013,-0.06934477311630036,0.37172344532985135
Cal 2 Final Grade (MATH 1312) ≤ 1.5,0.674026728646136,0.5196211096075778,-0.1544056190385582,0.3185837265829785
Cal 2 Final Grade (MATH 1312) > 1.5,0.32597327135386406,0.4803788903924222,0.15440561903855815,0.3185837265829784
Cal 1 Final Grade (MATH 1411) > -0.5,0.9633933759442185,1.0,0.03660662405578152,0.27559212133387967
Cal 1 Final Grade (MATH 1411) ≤ -0.5,0.03660662405578152,0.0,-0.03660662405578152,0.27559212133387967
Gender=0,0.1452643811737362,0.19215155615696888,0.04688717498323269,0.12538414648393048
Gender=1,0.8547356188262638,0.8078484438430311,-0.04688717498323269,0.12538414648393048
Early College HS?=1,0.05229517722254503,0.07442489851150202,0.022129721288956995,0.09088798996911489
Early College HS?=0,0.9477048227774549,0.925575101488498,-0.02212972128895696,0.09088798996911475
