,mean_target=0,mean_target=1,delta,delta_std
poutcome=success,0.013351034517308753,0.1849120816789563,0.17156104716164755,0.5992611136086106
contact=unknown,0.31286007715044334,0.10020797882397428,-0.21265209832646906,0.5443968247664094
pdays ≤ 8.5,0.8433445218175442,0.6417092077897523,-0.2016353140277919,0.473892055789375
pdays > 8.5,0.1566554781824558,0.3582907922102477,0.2016353140277919,0.473892055789375
previous ≤ 0.5,0.8408897349832173,0.6398184912081679,-0.20107124377504937,0.4711293920062237
previous > 0.5,0.15911026501678271,0.3601815087918321,0.20107124377504937,0.4711293920062237
poutcome=unknown,0.840964881518962,0.6401966345244848,-0.20076824699447715,0.4705209374801993
contact=cellular,0.6241170282049997,0.8260540744942333,0.2019370462892336,0.46430483982382936
housing=no,0.41899203446721106,0.6341463414634146,0.21515430699620358,0.4412586518325493
housing=yes,0.5810079655327889,0.36585365853658536,-0.21515430699620353,0.44125865183254914
month=may,0.3216522218325735,0.17489128379655888,-0.14676093803601464,0.3447101028448932
age > 60.5,0.01718350784028856,0.09491397239553791,0.07773046455524935,0.34283735083010625
age ≤ 60.5,0.9828164921597115,0.9050860276044621,-0.07773046455524935,0.34283735083010625
balance ≤ 105.5,0.2944241270477431,0.1771601436944602,-0.11726398335328292,0.2789053370672021
balance > 105.5,0.7055758729522569,0.8228398563055398,0.11726398335328292,0.2789053370672021
month=oct,0.010395270778017133,0.06107014558517678,0.050674874807159646,0.27555572338118944
month=mar,0.005736185561845599,0.04688977122329363,0.04115358566144803,0.25923551546186224
month=sep,0.007765142026952557,0.050860276044620914,0.04309513401766836,0.2575710317401527
job=blue-collar,0.22604077952006413,0.13386273397617698,-0.09217804554388714,0.2416899395669736
campaign ≤ 3.5,0.7762637142427734,0.8659481943656646,0.08968448012289121,0.23560969485054623
campaign > 3.5,0.2237362857572266,0.1340518056343354,-0.08968448012289118,0.23560969485054617
loan=yes,0.16933019387806222,0.09151068254868595,-0.07781951132937627,0.2326272822404708
loan=no,0.8306698061219377,0.908489317451314,0.07781951132937626,0.23262728224047075
job=retired,0.04378538149391313,0.0975609756097561,0.05377559411584297,0.21098305755991284
education=tertiary,0.283177195531286,0.3773870296842503,0.0942098341529643,0.20131330169695766
marital=single,0.27248133861029006,0.3615050103989412,0.08902367178865112,0.19219395295356784
job=student,0.016757677471068582,0.050860276044620914,0.03410259857355233,0.18951751807364295
marital=married,0.6126697059265568,0.5208924182265079,-0.09177728770004889,0.18600320882134008
month=apr,0.058990030559591206,0.10909434675742107,0.05010431619782986,0.181316894905317
month=dec,0.0028555683582986826,0.018907165815844205,0.016051597457545523,0.15517419088172074
day > 4.5,0.9133560442863584,0.8714312724522594,-0.04192477183409904,0.13559484208763278
day ≤ 4.5,0.0866439557136416,0.1285687275477406,0.041924771834099,0.13559484208763264
education=primary,0.15680577125394518,0.11174134997163924,-0.045064421282305936,0.13245793067713432
education=secondary,0.5198136365913532,0.46322556248818303,-0.05658807410317013,0.11336809161968779
month=jul,0.15700616201593107,0.11854792966534317,-0.0384582323505879,0.11174983326180793
month=feb,0.055307850308100794,0.08338060124787294,0.02807275093977215,0.11066814366078498
job=management,0.2043234306898452,0.2459822272641331,0.04165879657428789,0.09985648299942139
poutcome=other,0.03839987976554281,0.05804499905464171,0.0196451192890989,0.09178941611352645
job=services,0.0948098792645659,0.06976744186046512,-0.02504243740410078,0.09121873804755226
default=yes,0.019112268924402584,0.009831726224238986,-0.009280542700163598,0.07776516667917512
default=no,0.9808877310755975,0.990168273775761,0.009280542700163541,0.07776516667917463
job=entrepreneur,0.03416662491859125,0.023255813953488372,-0.01091081096510288,0.06536856194724926
job=unemployed,0.027578778618305697,0.038192474948005296,0.0106136963296996,0.059537557929045894
month=jun,0.1201092129652823,0.10323312535450936,-0.016876087610772944,0.0535979525339402
job=housemaid,0.028330243975752716,0.020608810739270185,-0.007721433236482531,0.04998961962276573
month=nov,0.08934923100045088,0.07619587823785215,-0.013153352762598727,0.04774815006688261
contact=telephone,0.06302289464455689,0.0737379466817924,0.010715052037235509,0.04246023698948787
education=unknown,0.04020339662341566,0.0476460578559274,0.007442661232511735,0.036322405222724785
poutcome=failure,0.10728420419818646,0.11684628474191719,0.009562080543730728,0.030314636975616253
job=technician,0.16925504734231753,0.15882019285309132,-0.010434854489226209,0.028180040677238026
month=jan,0.03158659385802314,0.026848175458498772,-0.00473841839952437,0.02813668118548163
month=aug,0.13924653073493312,0.13008130081300814,-0.009165229921924978,0.0268498420921884
job=admin.,0.11372175742698262,0.11930421629797694,0.005582458870994317,0.01739927266090001
marital=divorced,0.11484895546315314,0.11760257137455095,0.0027536159113978054,0.008591362895625006
job=self-employed,0.03486799258554181,0.035356400075628666,0.0004884074900868562,0.002653333995017729
job=unknown,0.006362406693051451,0.00642843637738703,6.602968433557909e-05,0.0008282749690193186
