,mean_target=0,mean_target=1,delta,delta_std
worst perimeter > 106,0.9198113207547169,0.08123249299719888,-0.838578827757518,3.0728158593905066
worst perimeter ≤ 106,0.08018867924528301,0.9187675070028011,0.838578827757518,3.0728158593905066
mean concave points > 0.05142,0.9056603773584906,0.0784313725490196,-0.827229004809471,2.9401030913957116
mean concave points ≤ 0.05142,0.09433962264150944,0.9215686274509803,0.8272290048094709,2.940103091395711
worst radius ≤ 16.8,0.15566037735849056,0.969187675070028,0.8135272977115374,2.858444203238211
worst radius > 16.8,0.8443396226415094,0.03081232492997199,-0.8135272977115374,2.858444203238211
worst concave points ≤ 0.1424,0.16037735849056603,0.9663865546218487,0.8060091961312827,2.782076919940597
worst concave points > 0.1424,0.839622641509434,0.03361344537815126,-0.8060091961312827,2.782076919940597
worst area ≤ 884.5,0.17452830188679244,0.9775910364145658,0.8030627345277733,2.7814517660318048
worst area > 884.5,0.8254716981132075,0.022408963585434174,-0.8030627345277733,2.7814517660318048
mean concavity ≤ 0.08942,0.1320754716981132,0.8935574229691877,0.7614819512710745,2.346887667805063
mean concavity > 0.08942,0.8679245283018868,0.10644257703081232,-0.7614819512710745,2.346887667805063
mean area > 696.2,0.7641509433962265,0.028011204481792718,-0.7361397389144337,2.2805820561791825
mean area ≤ 696.2,0.2358490566037736,0.9719887955182073,0.7361397389144337,2.2805820561791825
mean radius > 15.04,0.7594339622641509,0.03081232492997199,-0.728621637334179,2.230033208350056
mean radius ≤ 15.04,0.24056603773584906,0.969187675070028,0.728621637334179,2.230033208350056
mean perimeter > 98.75,0.75,0.025210084033613446,-0.7247899159663865,2.2207748132522767
mean perimeter ≤ 98.75,0.25,0.9747899159663865,0.7247899159663865,2.2207748132522767
area error > 31.28,0.8301886792452831,0.09803921568627451,-0.7321494635590086,2.1574930484483983
area error ≤ 31.28,0.16981132075471697,0.9019607843137255,0.7321494635590086,2.1574930484483983
worst concavity ≤ 0.2164,0.03773584905660377,0.7478991596638656,0.7101633106072618,2.114669938452021
worst concavity > 0.2164,0.9622641509433962,0.25210084033613445,-0.7101633106072618,2.114669938452021
perimeter error > 2.762,0.7452830188679245,0.12885154061624648,-0.616431478251678,1.5829367208573972
perimeter error ≤ 2.762,0.25471698113207547,0.8711484593837535,0.616431478251678,1.5829367208573972
radius error ≤ 0.4203,0.2971698113207547,0.8991596638655462,0.6019898525447915,1.5523246612280472
radius error > 0.4203,0.7028301886792453,0.10084033613445378,-0.6019898525447915,1.5523246612280472
mean compactness ≤ 0.1021,0.17452830188679244,0.7815126050420168,0.6069843031552243,1.5270800406515401
mean compactness > 0.1021,0.8254716981132075,0.2184873949579832,-0.6069843031552243,1.5270800406515401
worst compactness ≤ 0.2811,0.3113207547169811,0.8711484593837535,0.5598277046667723,1.382437322033624
worst compactness > 0.2811,0.6886792452830188,0.12885154061624648,-0.5598277046667723,1.382437322033624
concavity error ≤ 0.02111,0.10849056603773585,0.6106442577030813,0.5021536916653454,1.2258513093240884
concavity error > 0.02111,0.8915094339622641,0.38935574229691877,-0.5021536916653453,1.2258513093240881
concave points error ≤ 0.009203,0.08490566037735849,0.5294117647058824,0.4445061043285239,1.0977974744388082
concave points error > 0.009203,0.9150943396226415,0.47058823529411764,-0.4445061043285239,1.0977974744388082
mean texture ≤ 18.63,0.18396226415094338,0.6554621848739496,0.47149992072300617,1.0855620832520185
mean texture > 18.63,0.8160377358490566,0.3445378151260504,-0.47149992072300617,1.0855620832520185
worst texture > 23.35,0.8915094339622641,0.44537815126050423,-0.4461312827017599,1.0743306275975169
worst texture ≤ 23.35,0.10849056603773585,0.5546218487394958,0.44613128270175995,1.0743306275975169
worst smoothness ≤ 0.1361,0.3113207547169811,0.7310924369747899,0.41977168225780875,0.9242342553926077
worst smoothness > 0.1361,0.6886792452830188,0.2689075630252101,-0.41977168225780875,0.9242342553926077
compactness error > 0.01838,0.7971698113207547,0.4061624649859944,-0.3910073463347603,0.8696265122250818
compactness error ≤ 0.01838,0.2028301886792453,0.5938375350140056,0.3910073463347603,0.8696265122250818
mean smoothness > 0.08946,0.8773584905660378,0.5350140056022409,-0.3423444849637969,0.809635776672021
mean smoothness ≤ 0.08946,0.12264150943396226,0.4649859943977591,0.3423444849637969,0.809635776672021
worst symmetry > 0.3571,0.27358490566037735,0.0196078431372549,-0.25397706252312247,0.7675940634623974
worst symmetry ≤ 0.3571,0.7264150943396226,0.9803921568627451,0.25397706252312247,0.7675940634623974
mean symmetry > 0.1715,0.8066037735849056,0.49859943977591037,-0.3080043338089953,0.6824067961223598
mean symmetry ≤ 0.1715,0.19339622641509435,0.5014005602240896,0.3080043338089953,0.6824067961223598
worst fractal dimension > 0.09279,0.41037735849056606,0.12605042016806722,-0.28432693832249883,0.6762163353734661
worst fractal dimension ≤ 0.09279,0.589622641509434,0.8739495798319328,0.2843269383224988,0.676216335373466
fractal dimension error > 0.003116,0.6509433962264151,0.4257703081232493,-0.22517308810316577,0.46279152930201367
