,mean_two_year_recid=0,mean_two_year_recid=1,delta,delta_std
priors_count ≤ 2.5,0.7582515611061552,0.4788180847276611,-0.27943347637849414,0.6005498406452818
priors_count > 8.5,0.051144811180493605,0.19117123531505875,0.14002642413456515,0.4392767642096988
juv_any=0,0.9271483794231341,0.7949448202207191,-0.132203559202415,0.38931423764834877
juv_any=1,0.0728516205768659,0.2050551797792809,0.132203559202415,0.38931423764834877
age > 34.5,0.4796312815938151,0.30651477394090426,-0.1731165076529108,0.36007438625139404
2.5 < priors_count ≤ 8.5,0.19060362771335118,0.3300106799572802,0.139407052243929,0.32173146124557006
race_black=1,0.4501932798096937,0.5913136347454611,0.14112035493576736,0.2852981438881394
race_black=0,0.5498067201903063,0.408686365254539,-0.1411203549357673,0.2852981438881393
20.5 < age ≤ 34.5,0.5060957478441868,0.6432894268422926,0.13719367899810586,0.2801659653814366
c_charge_degree=1,0.5905441570026762,0.7063011747953009,0.1157570177926247,0.2442035048223036
c_charge_degree=0,0.4094558429973238,0.2936988252046992,-0.1157570177926246,0.24420350482230338
sex=1,0.7734165923282783,0.8529725881096476,0.0795559957813693,0.20515623994156185
sex=0,0.22658340767172166,0.14702741189035243,-0.07955599578136924,0.20515623994156168
age ≤ 20.5,0.014272970561998216,0.05019579921680313,0.035922828654804916,0.20441308193848678
