,mean_Outcome=0,mean_Outcome=1,delta,delta_std
Glucose ≤ 127.5,0.782,0.35074626865671643,-0.4312537313432836,0.9650441315397302
Glucose > 127.5,0.218,0.6492537313432836,0.4312537313432836,0.9650441315397302
BMI ≤ 27.85,0.39,0.10074626865671642,-0.2892537313432836,0.7128363602165352
BMI > 27.85,0.61,0.8992537313432836,0.2892537313432836,0.7128363602165352
Age ≤ 28.5,0.592,0.26492537313432835,-0.3270746268656716,0.699323501286722
Age > 28.5,0.408,0.7350746268656716,0.3270746268656716,0.699323501286722
Pregnancies > 6.5,0.148,0.35447761194029853,0.20647761194029854,0.48937897959440374
Pregnancies ≤ 6.5,0.852,0.6455223880597015,-0.20647761194029846,0.4893789795944035
Insulin ≤ 121,0.8,0.6194029850746269,-0.18059701492537317,0.40537744074719534
Insulin > 121,0.2,0.3805970149253731,0.1805970149253731,0.40537744074719523
DiabetesPedigreeFunction > 0.5275,0.278,0.44776119402985076,0.16976119402985074,0.3581605444833604
DiabetesPedigreeFunction ≤ 0.5275,0.722,0.5522388059701493,-0.16976119402985068,0.35816054448336027
SkinThickness ≤ 31.5,0.766,0.6194029850746269,-0.14659701492537314,0.3213467579925684
SkinThickness > 31.5,0.234,0.3805970149253731,0.1465970149253731,0.32134675799256834
BloodPressure ≤ 69,0.464,0.3208955223880597,-0.14310447761194034,0.29585100790368996
BloodPressure > 69,0.536,0.6791044776119403,0.14310447761194023,0.29585100790368973
