,mean_target=0,mean_target=1,delta,delta_std
checking_status=no checking,0.49714285714285716,0.15333333333333332,-0.34380952380952384,0.7881250813653304
checking_status=<0,0.19857142857142857,0.45,0.25142857142857145,0.5568795502397788
credit_history=critical/other existing credit,0.34714285714285714,0.16666666666666666,-0.18047619047619048,0.4217053878432473
duration > 15.5,0.5114285714285715,0.7033333333333334,0.1919047619047619,0.4003317807556925
duration ≤ 15.5,0.48857142857142855,0.2966666666666667,-0.19190476190476186,0.4003317807556923
savings_status=<100,0.5514285714285714,0.7233333333333334,0.171904761904762,0.3630123827625285
credit_amount ≤ 3914,0.7871428571428571,0.63,-0.15714285714285714,0.3506516417895875
credit_amount > 3914,0.21285714285714286,0.37,0.15714285714285714,0.3506516417895875
savings_status=no known savings,0.21571428571428572,0.10666666666666667,-0.10904761904761905,0.2995591883587112
housing=own,0.7528571428571429,0.62,-0.1328571428571429,0.2889846924993186
credit_history=no credits/all paid,0.02142857142857143,0.08333333333333333,0.0619047619047619,0.28016689356634744
age > 25.5,0.8428571428571429,0.7333333333333333,-0.10952380952380958,0.27010082035692706
age ≤ 25.5,0.15714285714285714,0.26666666666666666,0.10952380952380952,0.27010082035692695
property_magnitude=real estate,0.3171428571428571,0.2,-0.1171428571428571,0.2696653482783358
credit_history=all paid,0.03,0.09333333333333334,0.06333333333333334,0.2652196255907627
property_magnitude=no known property,0.12428571428571429,0.22333333333333333,0.09904761904761904,0.26329504274704335
checking_status=0<=X<200,0.2342857142857143,0.35,0.11571428571428569,0.25622291765413174
purpose=radio/tv,0.31142857142857144,0.20666666666666667,-0.10476190476190478,0.24057734628827215
other_payment_plans=none,0.8428571428571429,0.7466666666666667,-0.09619047619047616,0.23956954595808355
purpose=used car,0.12285714285714286,0.056666666666666664,-0.06619047619047619,0.23289203909806583
employment=<1,0.1457142857142857,0.23333333333333334,0.08761904761904762,0.22468383644107467
purpose=new car,0.20714285714285716,0.2966666666666667,0.08952380952380953,0.2070715878123292
savings_status=>=1000,0.06,0.02,-0.039999999999999994,0.20499853700681198
other_payment_plans=bank,0.11714285714285715,0.19,0.07285714285714286,0.20285771222759807
foreign_worker=yes,0.9528571428571428,0.9866666666666667,0.033809523809523845,0.19822180245080842
foreign_worker=no,0.047142857142857146,0.013333333333333334,-0.03380952380952381,0.1982218024508082
housing=rent,0.15571428571428572,0.23333333333333334,0.07761904761904762,0.19679024451664884
personal_status=male single,0.5742857142857143,0.4866666666666667,-0.0876190476190476,0.1760339588929897
employment=4<=X<7,0.19285714285714287,0.13,-0.06285714285714286,0.1712772495820771
housing=for free,0.09142857142857143,0.14666666666666667,0.05523809523809524,0.1709730224443
savings_status=500<=X<1000,0.07428571428571429,0.03666666666666667,-0.03761904761904762,0.1647282085576831
personal_status=female div/dep/mar,0.28714285714285714,0.36333333333333334,0.0761904761904762,0.16298023764978553
installment_commitment ≤ 3.5,0.5471428571428572,0.47,-0.07714285714285718,0.15458510540724488
installment_commitment > 3.5,0.45285714285714285,0.53,0.07714285714285718,0.15458510540724488
purpose=education,0.04,0.07333333333333333,0.03333333333333333,0.14435712408395357
employment=>=7,0.27,0.21333333333333335,-0.05666666666666667,0.1325077592056979
other_parties=co applicant,0.032857142857142856,0.06,0.027142857142857142,0.12909690557199927
other_parties=guarantor,0.06,0.03333333333333333,-0.026666666666666665,0.12654679292670776
other_payment_plans=stores,0.04,0.06333333333333334,0.023333333333333338,0.10542240172673274
personal_status=male div/sep,0.04285714285714286,0.06666666666666667,0.023809523809523808,0.10465880666234431
existing_credits > 1.5,0.38142857142857145,0.3333333333333333,-0.048095238095238135,0.10036803630498314
existing_credits ≤ 1.5,0.6185714285714285,0.6666666666666666,0.04809523809523808,0.10036803630498303
checking_status=>=200,0.07,0.04666666666666667,-0.023333333333333338,0.09957026925737819
credit_history=existing paid,0.5157142857142857,0.5633333333333334,0.04761904761904767,0.09553260275140608
purpose=retraining,0.011428571428571429,0.0033333333333333335,-0.008095238095238095,0.09459398686555019
job=high qualif/self emp/mgmt,0.13857142857142857,0.17,0.031428571428571445,0.08698135489266746
employment=unemployed,0.055714285714285716,0.07666666666666666,0.020952380952380945,0.08424497925036963
own_telephone=yes,0.4157142857142857,0.37666666666666665,-0.03904761904761905,0.07980397569823797
own_telephone=none,0.5842857142857143,0.6233333333333333,0.039047619047619,0.07980397569823786
purpose=business,0.09,0.11333333333333333,0.02333333333333333,0.07717091255689239
purpose=other,0.01,0.016666666666666666,0.006666666666666666,0.05807224688953025
job=unskilled resident,0.2057142857142857,0.18666666666666668,-0.019047619047619035,0.04792254488674272
savings_status=100<=X<500,0.09857142857142857,0.11333333333333333,0.014761904761904754,0.047918262821999284
purpose=furniture/equipment,0.1757142857142857,0.19333333333333333,0.017619047619047618,0.045377139032986125
purpose=repairs,0.02,0.02666666666666667,0.006666666666666668,0.04411703476054865
personal_status=male mar/wid,0.09571428571428571,0.08333333333333333,-0.012380952380952381,0.04332591029659006
residence_since ≤ 1.5,0.13428571428571429,0.12,-0.01428571428571429,0.04284265413416884
residence_since > 1.5,0.8657142857142858,0.88,0.014285714285714235,0.04284265413416866
job=skilled,0.6342857142857142,0.62,-0.014285714285714235,0.02951042258435007
credit_history=delayed previously,0.08571428571428572,0.09333333333333334,0.0076190476190476225,0.026656921499675967
property_magnitude=car,0.32857142857142857,0.34,0.011428571428571455,0.024199220019299278
employment=1<=X<4,0.3357142857142857,0.3466666666666667,0.010952380952380991,0.023074892866875776
purpose=domestic appliance,0.011428571428571429,0.013333333333333334,0.0019047619047619056,0.017204872995936527
property_magnitude=life insurance,0.23,0.23666666666666666,0.006666666666666654,0.015743839496357468
job=unemp/unskilled non res,0.02142857142857143,0.023333333333333334,0.0019047619047619056,0.012861722598023494
num_dependents > 1.5,0.15571428571428572,0.15333333333333332,-0.0023809523809524002,0.00657942808970858
num_dependents ≤ 1.5,0.8442857142857143,0.8466666666666667,0.0023809523809523725,0.006579428089708504
other_parties=none,0.9071428571428571,0.9066666666666666,-0.0004761904761905189,0.0016368842466108699
