,mean_target=0,mean_target=1,delta,delta_std
thal=3,0.7933333333333333,0.275,-0.5183333333333333,1.2114918768200074
chest=4,0.25333333333333335,0.7583333333333333,0.5049999999999999,1.1658916474812342
thal=7,0.16666666666666666,0.6583333333333333,0.4916666666666667,1.148324948703612
number_of_major_vessels=0,0.8,0.3333333333333333,-0.46666666666666673,1.0634063230673436
exercise_induced_angina=1,0.15333333333333332,0.55,0.3966666666666667,0.9096886214037582
exercise_induced_angina=0,0.8466666666666667,0.45,-0.39666666666666667,0.9096886214037581
maximum_heart_rate_achieved > 147.5,0.7666666666666667,0.36666666666666664,-0.4000000000000001,0.8788946786308846
maximum_heart_rate_achieved ≤ 147.5,0.23333333333333334,0.6333333333333333,0.39999999999999997,0.8788946786308844
oldpeak > 1.7,0.09333333333333334,0.44166666666666665,0.34833333333333333,0.8525661456216536
oldpeak ≤ 1.7,0.9066666666666666,0.5583333333333333,-0.3483333333333333,0.8525661456216533
slope=1,0.6533333333333333,0.26666666666666666,-0.38666666666666666,0.8385927563073724
slope=2,0.29333333333333333,0.65,0.3566666666666667,0.7620701165941758
sex=0,0.44666666666666666,0.16666666666666666,-0.28,0.6349954585034061
sex=1,0.5533333333333333,0.8333333333333334,0.28,0.6349954585034061
chest=3,0.41333333333333333,0.14166666666666666,-0.27166666666666667,0.6344171984962308
age > 54.5,0.38666666666666666,0.6666666666666666,0.27999999999999997,0.5820483595363014
age ≤ 54.5,0.6133333333333333,0.3333333333333333,-0.27999999999999997,0.5820483595363014
number_of_major_vessels=2,0.04666666666666667,0.21666666666666667,0.17,0.5173702618025275
chest=2,0.23333333333333334,0.058333333333333334,-0.175,0.5100050993779459
number_of_major_vessels=1,0.13333333333333333,0.31666666666666665,0.18333333333333332,0.44826358328950733
number_of_major_vessels=3,0.02,0.13333333333333333,0.11333333333333333,0.4342015898139977
serum_cholestoral ≤ 245.5,0.5933333333333334,0.4,-0.19333333333333336,0.3926308423582411
serum_cholestoral > 245.5,0.4066666666666667,0.6,0.1933333333333333,0.39263084235824103
resting_electrocardiographic_results=0,0.5666666666666667,0.38333333333333336,-0.1833333333333333,0.3720715949107631
resting_electrocardiographic_results=2,0.4266666666666667,0.6083333333333333,0.1816666666666666,0.3683285587131279
resting_blood_pressure > 109,0.8933333333333333,0.9666666666666667,0.07333333333333336,0.2893994550179364
resting_blood_pressure ≤ 109,0.10666666666666667,0.03333333333333333,-0.07333333333333333,0.2893994550179363
chest=1,0.1,0.041666666666666664,-0.05833333333333334,0.2280402557676716
slope=3,0.05333333333333334,0.08333333333333333,0.029999999999999992,0.1186509883778577
thal=6,0.04,0.06666666666666667,0.026666666666666665,0.11842917990671735
fasting_blood_sugar=1,0.15333333333333332,0.14166666666666666,-0.011666666666666659,0.03278184749362367
fasting_blood_sugar=0,0.8466666666666667,0.8583333333333333,0.011666666666666603,0.03278184749362351
resting_electrocardiographic_results=1,0.006666666666666667,0.008333333333333333,0.0016666666666666661,0.019245008972987518
