,mean_target=0,mean_target=1,delta,delta_std
failures ≤ 0.5,0.51,0.907103825136612,0.397103825136612,0.9676189056174125
failures > 0.5,0.49,0.09289617486338798,-0.397103825136612,0.9676189056174125
school=MS,0.68,0.2877959927140255,-0.39220400728597454,0.850668378176595
school=GP,0.32,0.7122040072859745,0.39220400728597454,0.850668378176595
higher=yes,0.67,0.9344262295081968,0.2644262295081967,0.7008277774876231
higher=no,0.33,0.06557377049180328,-0.2644262295081967,0.700827777487623
Fedu ≤ 1.5,0.45,0.24772313296903462,-0.2022768670309654,0.4328838526596461
Fedu > 1.5,0.55,0.7522768670309654,0.20227686703096537,0.432883852659646
studytime ≤ 1.5,0.5,0.29508196721311475,-0.20491803278688525,0.4268600338036162
studytime > 1.5,0.5,0.7049180327868853,0.20491803278688525,0.4268600338036162
reason=reputation,0.1,0.24225865209471767,0.14225865209471766,0.3837732323305827
Medu ≤ 1.5,0.37,0.2040072859744991,-0.1659927140255009,0.3720373657196446
Medu > 1.5,0.63,0.7959927140255009,0.16599271402550086,0.3720373657196445
address=R,0.44,0.2786885245901639,-0.1613114754098361,0.33996985103167277
address=U,0.56,0.7213114754098361,0.16131147540983604,0.3399698510316726
goout ≤ 4.5,0.72,0.8506375227686703,0.13063752276867036,0.3211592356581717
goout > 4.5,0.28,0.1493624772313297,-0.13063752276867033,0.32115923565817167
Mjob=teacher,0.04,0.12386156648451731,0.08386156648451731,0.3087972609131072
freetime > 4.5,0.19,0.08925318761384335,-0.10074681238615665,0.292733892017194
freetime ≤ 4.5,0.81,0.9107468123861566,0.10074681238615657,0.2927338920171938
Walc ≤ 2.5,0.49,0.6338797814207651,0.14387978142076507,0.29219848049946245
Walc > 2.5,0.51,0.366120218579235,-0.14387978142076502,0.29219848049946234
famrel > 1.5,0.91,0.97632058287796,0.06632058287795994,0.28823029511030607
famrel ≤ 1.5,0.09,0.023679417122040074,-0.06632058287795992,0.28823029511030596
Dalc ≤ 1.5,0.58,0.7158469945355191,0.13584699453551918,0.28644094364255923
Dalc > 1.5,0.42,0.28415300546448086,-0.13584699453551913,0.2864409436425591
reason=course,0.55,0.41894353369763204,-0.131056466302368,0.2637335263471577
absences > 6.5,0.28,0.17122040072859745,-0.10877959927140257,0.2616076293573347
absences ≤ 6.5,0.72,0.8287795992714025,0.10877959927140257,0.2616076293573347
age > 17.5,0.38,0.2604735883424408,-0.11952641165755923,0.2574904947030679
age ≤ 17.5,0.62,0.7395264116575592,0.11952641165755917,0.2574904947030678
reason=other,0.18,0.09836065573770492,-0.08163934426229508,0.23669117810755796
internet=no,0.32,0.2167577413479053,-0.10324225865209471,0.23383317153478297
internet=yes,0.68,0.7832422586520947,0.10324225865209469,0.23383317153478292
Mjob=at_home,0.29,0.1930783242258652,-0.09692167577413477,0.22716819564948337
guardian=father,0.16,0.2495446265938069,0.08954462659380691,0.2226915362696971
romantic=yes,0.46,0.35154826958105645,-0.10845173041894357,0.22154073116249123
romantic=no,0.54,0.6484517304189436,0.10845173041894351,0.22154073116249112
sex=F,0.5,0.6065573770491803,0.10655737704918034,0.21492642563482262
sex=M,0.5,0.39344262295081966,-0.10655737704918034,0.21492642563482262
reason=home,0.17,0.24043715846994534,0.07043715846994533,0.17460268009464655
traveltime > 2.5,0.15,0.10018214936247723,-0.04981785063752277,0.1505153225096049
traveltime ≤ 2.5,0.85,0.8998178506375227,0.049817850637522754,0.15051532250960484
famsize=GT3,0.76,0.6939890710382514,-0.06601092896174865,0.14816191229838485
famsize=LE3,0.24,0.30601092896174864,0.06601092896174865,0.14816191229838485
Fjob=teacher,0.03,0.060109289617486336,0.030109289617486337,0.1452056308979028
paid=no,0.91,0.9453551912568307,0.03535519125683062,0.13634488928057464
paid=yes,0.09,0.0546448087431694,-0.0353551912568306,0.13634488928057456
health > 4.5,0.44,0.37340619307832423,-0.06659380692167577,0.13547058314594163
health ≤ 4.5,0.56,0.6265938069216758,0.06659380692167571,0.13547058314594151
Fjob=services,0.33,0.26958105646630237,-0.060418943533697644,0.1317509067704596
activities=yes,0.43,0.49544626593806923,0.06544626593806924,0.13115363174050518
activities=no,0.57,0.5045537340619308,-0.06544626593806913,0.13115363174050496
guardian=mother,0.75,0.692167577413479,-0.05783242258652099,0.12885828262875257
guardian=other,0.09,0.058287795992714025,-0.03171220400728597,0.12084994005131264
famsup=yes,0.57,0.6211293260473588,0.05112932604735887,0.1040068392901118
famsup=no,0.43,0.3788706739526412,-0.051129326047358814,0.10400683929011167
schoolsup=no,0.92,0.8907103825136612,-0.029289617486338848,0.09991555858024737
schoolsup=yes,0.08,0.1092896174863388,0.029289617486338793,0.09991555858024717
Mjob=health,0.06,0.07650273224043716,0.016502732240437162,0.06529691038154792
Fjob=other,0.54,0.5701275045537341,0.03012750455373403,0.06047076339786711
Mjob=services,0.19,0.21311475409836064,0.02311475409836064,0.05747721520362462
Mjob=other,0.42,0.39344262295081966,-0.02655737704918032,0.053921990072600436
Fjob=health,0.03,0.03642987249544627,0.0064298724954462705,0.03578764614988424
Fjob=at_home,0.07,0.06375227686703097,-0.006247723132969035,0.024935654473009227
nursery=yes,0.81,0.8014571948998178,-0.008542805100182238,0.021530340819986785
nursery=no,0.19,0.19854280510018216,0.008542805100182155,0.021530340819986577
Pstatus=A,0.12,0.12386156648451731,0.003861566484517312,0.011767148007001595
Pstatus=T,0.88,0.8761384335154827,-0.003861566484517298,0.011767148007001554
