,mean_target=0,mean_target=1,delta,delta_std
PAY_1 ≤ 1.5,0.9592107515836329,0.6719409282700421,-0.28726982331359074,0.7973617910607649
PAY_1 > 1.5,0.04078924841636706,0.3280590717299578,0.28726982331359074,0.7973617910607649
PAY_2 > 1.5,0.08299092621126519,0.37236286919831224,0.28937194298704705,0.7351825563508056
PAY_2 ≤ 1.5,0.9170090737887348,0.6276371308016878,-0.28937194298704694,0.7351825563508053
PAY_3 > 1.5,0.08594418763910289,0.33167570825798676,0.24573152061888387,0.6341997252082621
PAY_3 ≤ 1.5,0.9140558123608971,0.6683242917420132,-0.24573152061888381,0.634199725208262
PAY_4 ≤ 0.5,0.9301917479883581,0.7168474984930681,-0.21334424949529007,0.5828712433678067
PAY_4 > 0.5,0.06980825201164184,0.2831525015069319,0.21334424949529004,0.5828712433678066
PAY_5 > 1,0.05645437425098442,0.24849306811332128,0.19203869386233685,0.5543194959390008
PAY_5 ≤ 1,0.9435456257490156,0.7515069318866787,-0.19203869386233685,0.5543194959390008
PAY_6 > 1,0.06283170689950351,0.24276672694394213,0.17993502004443862,0.516482261835503
PAY_6 ≤ 1,0.9371682931004965,0.7572332730560579,-0.17993502004443862,0.516482261835503
LIMIT_BAL > 1.45e+05,0.5305598356445814,0.3487040385774563,-0.18185579706712512,0.37268172407170247
LIMIT_BAL ≤ 1.45e+05,0.4694401643554186,0.6512959614225436,0.18185579706712507,0.3726817240717023
PAY_AMT1 ≤ 21.5,0.1484762883067968,0.29264617239300783,0.14416988408621104,0.3530691787820441
PAY_AMT1 > 21.5,0.8515237116932032,0.7073538276069922,-0.144169884086211,0.35306917878204397
PAY_AMT2 > 91,0.8384694401643554,0.7150391802290537,-0.12343025993530177,0.2997005456103706
PAY_AMT2 ≤ 91,0.16153055983564457,0.28496081977094634,0.12343025993530177,0.2997005456103706
PAY_AMT3 ≤ 17.5,0.17839411059750043,0.29792043399638335,0.11952632339888292,0.2833956006618353
PAY_AMT3 > 17.5,0.8216058894024996,0.7020795660036167,-0.11952632339888292,0.2833956006618353
PAY_AMT4 > 1900,0.4857473035439137,0.3524713682941531,-0.1332759352497606,0.2725948809319824
PAY_AMT4 ≤ 1900,0.5142526964560863,0.6475286317058468,0.13327593524976056,0.2725948809319823
PAY_AMT6 > 2000,0.43601266906351654,0.310126582278481,-0.12588608678503554,0.26252017783293585
PAY_AMT6 ≤ 2000,0.5639873309364835,0.689873417721519,0.12588608678503554,0.26252017783293585
PAY_AMT5 ≤ 2000,0.5603492552645095,0.6794755877034359,0.11912633243892634,0.24727200440157288
PAY_AMT5 > 2000,0.4396507447354905,0.3205244122965642,-0.11912633243892629,0.24727200440157276
EDUCATION=1,0.36590481082006504,0.30681133212778783,-0.05909347869227721,0.12531473506057186
EDUCATION=5,0.011213833247731553,0.0027124773960217,-0.008501355851709854,0.10236623695129551
AGE > 25.5,0.8784882725560692,0.8444846292947559,-0.03400364326131333,0.09855066022890671
AGE ≤ 25.5,0.12151172744393084,0.15551537070524413,0.03400364326131329,0.09855066022890659
SEX=1,0.38585002568053417,0.43294153104279687,0.0470915053622627,0.09587378467017856
SEX=2,0.6141499743194658,0.5670584689572031,-0.0470915053622627,0.09587378467017856
EDUCATION=2,0.4579695257661359,0.5018083182640145,0.04383879249787859,0.08782891523680238
BILL_AMT1 ≤ 5.441e+04,0.6997089539462421,0.734629294755877,0.03492034080963491,0.07759081456267675
BILL_AMT1 > 5.441e+04,0.3002910460537579,0.265370705244123,-0.03492034080963491,0.07759081456267675
EDUCATION=3,0.15750727615134394,0.18640747438215793,0.028900198230813995,0.07664096246422605
MARRIAGE=2,0.5402756377332648,0.503465943339361,-0.0368096943939038,0.07373641517195255
MARRIAGE=1,0.44739770587228217,0.4831223628691983,0.035724656996916127,0.07166489361890054
EDUCATION=4,0.004964903269988016,0.0010548523206751054,-0.00391005094931291,0.07142099544942547
BILL_AMT2 > 9.237e+04,0.1768532785481938,0.15114526823387583,-0.025708010314317964,0.06946815269304421
BILL_AMT2 ≤ 9.237e+04,0.8231467214518062,0.8488547317661241,0.02570801031431791,0.06946815269304406
BILL_AMT3 > 5.062e+04,0.29224447868515663,0.2640144665461121,-0.028230012139044525,0.06303080412946714
BILL_AMT3 ≤ 5.062e+04,0.7077555213148433,0.7359855334538878,0.028230012139044525,0.06303080412946714
BILL_AMT5 ≤ 5.104e+04,0.7494007875363807,0.7760699216395419,0.026669134103161185,0.06271889049081988
BILL_AMT5 > 5.104e+04,0.25059921246361927,0.2239300783604581,-0.026669134103161157,0.06271889049081981
BILL_AMT6 > 1.266e+04,0.5391628145865434,0.568414707655214,0.029251893068670598,0.05886793268423849
BILL_AMT6 ≤ 1.266e+04,0.4608371854134566,0.43158529234478604,-0.029251893068670543,0.05886793268423837
BILL_AMT4 > 7.918e+04,0.1815613764766307,0.16018685955394815,-0.02137451692268255,0.05680710183960265
BILL_AMT4 ≤ 7.918e+04,0.8184386235233693,0.8398131404460518,0.02137451692268255,0.05680710183960265
MARRIAGE=0,0.0020972436226673516,0.0007534659433393611,-0.0013437776793279906,0.03562288236340874
EDUCATION=0,0.0005992124636192433,0.0,-0.0005992124636192433,0.03462790990722267
MARRIAGE=3,0.010229412771785653,0.012658227848101266,0.0024288150763156127,0.022835699970481817
EDUCATION=6,0.0018404382811162473,0.0012055455093429777,-0.0006348927717732696,0.016280898581226503
