,mean_survived=0,mean_survived=1,delta,delta_std
sex=0,0.14754098360655737,0.6812865497076024,0.5337455661010451,1.2873976164284031
sex=1,0.8524590163934426,0.31871345029239767,-0.5337455661010448,1.2873976164284027
pclass=3,0.6775956284153005,0.347953216374269,-0.3296424120410315,0.6977394579531675
fare ≤ 10.48,0.49544626593806923,0.195906432748538,-0.29953983318953126,0.6628476095485775
pclass=1,0.14571948998178508,0.39766081871345027,0.2519413287316652,0.5897972288835502
fare > 74.38,0.04189435336976321,0.21637426900584794,0.17447991563608473,0.5381158303426268
embarked=0,0.1366120218579235,0.2719298245614035,0.13531780270348,0.3400368745835895
embarked=2,0.7777777777777778,0.6345029239766082,-0.14327485380116955,0.3180965381164364
age ≤ 6.5,0.025500910746812388,0.09649122807017543,0.07099031732336304,0.29954481020162743
age > 6.5,0.9744990892531876,0.9035087719298246,-0.07099031732336303,0.29954481020162743
10.48 < fare ≤ 74.38,0.46265938069216755,0.5877192982456141,0.12505991755344653,0.2521258534378572
pclass=2,0.1766848816029144,0.2543859649122807,0.07770108330936631,0.18958173864628833
parch,0.3296903460837887,0.4649122807017544,0.13522193461796567,0.16948207380568292
embarked=3,0.0,0.005847953216374269,0.005847953216374269,0.10830653792616003
sibsp,0.5537340619307832,0.47368421052631576,-0.08004985140446746,0.07698862396993358
embarked=1,0.08561020036429873,0.08771929824561403,0.0021090978813153027,0.007487661469104865
